id;anio;titulo;resumen;titulo_limpio;resumen_limpio;facultad;carrera;descargas;vistas
59419;2016;Análisis de factibilidad para planta de extracción de aceite de ricino;"El presente proyecto tiene por objetivo realizar el Análisis de Factibilidad Técnica, Económica y Ambiental para el Montaje y Puesta en Marcha de una Planta para la obtención Aceite de Ricino en el Parque Industrial de la ciudad de General Güemes._x000D_
El aceite se obtiene a través del procesamiento de la semilla de ricino (llamada también tártago, higuerilla o mamona) a través de una extrusora, y su posterior extracción en prensas de tornillo continuas. Con este sistema se obtiene un aceite de alto valor de mercado por estar prácticamente libre de contaminantes y rendimientos de extracción del 80%. Como subproducto del proceso se obtiene expeler de tártago._x000D_
La principal materia prima para la elaboración del producto es la semilla de ricino. A través de encuestas realizadas a productores de diferentes regiones del NOA se determinó como principal zona de cultivo las tierras aledañas a la ciudad de Tartagal, Dpto. San Martín. El precio de venta para la semilla descascarada por tonelada será el mismo que el precio de la soja en el puerto de Rosario de Santa Fe. El proyecto pretende lograr un mejor aprovechamiento de las tierras y ser una fuente de ingreso importante en zonas marginales ya que la planta presenta una alta adaptabilidad, permitiendo la producción en zonas donde no son posibles los cultivos convencionales como la Región Chaqueña. Entre los usos del aceite se destacan su utilización como lubricante, ser materia prima en la producción de biocombustibles, plásticos, pinturas, barnices, nylon y otras aplicaciones industriales. El subproducto se utiliza como abono orgánico y presenta una acción insecticida y nematodocida en los cultivos. La demanda mundial de ambos productos ha tenido un crecimiento importante en los últimos años._x000D_
Actualmente no existe producción de aceite de ricino en el Territorio Argentino, por lo que las industrias que hacen uso de este en sus procesos o como materia prima, deben recurrir a sustitutos o realizan compras mínimas por el alto costo del aceite importado. De acuerdo con el Análisis de Mercado el consumo de las industrias que requieren del ricino en Argentina sería de 55.450 Tn. a un precio de venta de 1.644 U$D/Tn de las cuales el proyecto satisfará el 19%. El costo del expeler es de 124 U$D/Tn y se comercializará como abono orgánico para cultivos de la zona, principalmente el tabaco. La capacidad de planta para satisfacer el porcentaje de demanda estimado es de 100 Tn/día y trabaja de manera continua las 24 hs evitando de esta manera pérdidas por los elevados tiempos de puesta en marcha de la línea.Del proceso se obtienen 30 Tn. de aceite y 70 Tn. de expeler cada 100 Tn de semilla. El proyecto generará 29 nuevos puestos de trabajo además de permitir el desarrollo de industrias relacionadas con un posterior procesamiento del aceite. La inversión inicial para la puesta en marcha es de U$D 2.793.998, de los cuales el 80% será financiado con capitales propios, con una tasa exigida del 40% y el 20% restante con un préstamo del Banco Nación a 10 años con una tasa anual del 37.75%. La Tasa Interna de Retorno es de 150% y el Valor actual Neto de U$D $ 7.552.341. Se realizaron análisis de sensibilidad determinando que el proyecto posee una considerable capacidad para absorber fluctuaciones de mercado.";análisis factibilidad planta extracción aceite ricino;"presente proyecto objetivo realizar análisis factibilidad técnica  económica ambiental montaje puesta marcha planta obtención aceite ricino parque industrial ciudad general güemes  x   d 
el aceite obtiene través procesamiento semilla ricino  llamada tártago  higuerilla mamona  través extrusora  posterior extracción prensas tornillo continuas  sistema obtiene aceite alto valor mercado prácticamente libre contaminantes rendimientos extracción      subproducto proceso obtiene expeler tártago  x   d 
la principal materia prima elaboración producto semilla ricino  través encuestas realizadas productores diferentes regiones noa determinó principal zona cultivo tierras aledañas ciudad tartagal  dpto  san martín  precio venta semilla descascarada tonelada mismo precio soja puerto rosario santa fe  proyecto pretende lograr mejor aprovechamiento tierras ser fuente ingreso importante zonas marginales planta presenta alta adaptabilidad  permitiendo producción zonas posibles cultivos convencionales región chaqueña  usos aceite destacan utilización lubricante  ser materia prima producción biocombustibles  plásticos  pinturas  barnices  nylon aplicaciones industriales  subproducto utiliza abono orgánico presenta acción insecticida nematodocida cultivos  demanda mundial ambos productos crecimiento importante últimos años  x   d 
actualmente existe producción aceite ricino territorio argentino  industrias hacen uso procesos materia prima  deben recurrir sustitutos realizan compras mínimas alto costo aceite importado  acuerdo análisis mercado consumo industrias requieren ricino argentina        tn  precio venta       u d tn cuales proyecto satisfará      costo expeler     u d tn comercializará abono orgánico cultivos zona  principalmente tabaco  capacidad planta satisfacer porcentaje demanda estimado     tn día trabaja manera continua    hs evitando manera pérdidas elevados tiempos puesta marcha línea proceso obtienen    tn  aceite    tn  expeler cada     tn semilla  proyecto generará    nuevos puestos trabajo además permitir desarrollo industrias relacionadas posterior procesamiento aceite  inversión inicial puesta marcha u d            cuales     financiado capitales propios  tasa exigida         restante préstamo banco nación    años tasa anual         tasa interna retorno      valor actual neto u d              realizaron análisis sensibilidad determinando proyecto posee considerable capacidad absorber fluctuaciones mercado ";Ingeniería;Ingeniería Industrial;1041;501
59516;2016;Escalado del proceso de extracción supercrítica de semillas de chía (Salvia hispánica L.);"El presente proyecto se plantea como continuación del trabajo desarrollado por el Ingeniero Gerardo Tita, en su Trabajo Final “Diseño y Construcción de una planta piloto multipropósito de CO2 supercrítico”, fruto de la labor realizada en el Laboratorio de Fluidos Supercríticos de la Universidad Católica de Salta desde el año 2013._x000D_
En consideración con las muestras y los resultados obtenidos de alto valor añadido utilizando como materias primas pimentón, tabaco, ají cayena y ají criollo, propios de los valles calchaquíes de la provincia de Salta, se propone la extracción supercrítica de semillas de chía, un sustrato revalorizado con tendencia al crecimiento en la región con el objeto de realizar el proceso de escalado de la planta piloto a una escala comercial._x000D_
El trabajo está dividido en tres partes. La primera parte se refiere al origen e historia de la semilla de chía, su descripción botánica, propiedades físicas, aspectos nutricionales y características fisicoquímicas. Se hace hincapié en la distribución geográfica y producción a nivel mundial y nacional para centrarse en la región del noroeste argentino y más específicamente en la provincia de Salta. Además se da conocimiento de los métodos de obtención del aceite para establecer comparaciones entre ellos._x000D_
En la segunda parte se expone el proceso de extracción supercrítica empleando CO2, acompañado de la descripción de la Planta Piloto en su estado actual, analizando sus componentes y funciones. Se realiza una comparación con el estado anterior de la planta, mostrando la instalación realizada de los componentes durante el tiempo de trabajo. Luego se desarrolla la parte experimental del proceso de extracción de las muestras de semilla de chía, el análisis de la curvas de extracción, utilizando la metodología aplicable a la extracción de cualquier otra matriz vegetal._x000D_
La tercera parte presenta los fundamentos teóricos necesarios para determinar los parámetros del escalado (scale-up) del proceso de extracción supercrítica de semillas de chía para luego aplicarlos mostrando el desarrollo del producto desde la escala de laboratorio a escala industrial._x000D_
Finalmente se exponen las conclusiones generales obtenidas a partir de este trabajo, y en base a ellas las perspectivas futuras.";escalado proceso extracción supercrítica semillas chía  salvia hispánica l  ;"presente proyecto plantea continuación trabajo desarrollado ingeniero gerardo tita  trabajo final “diseño construcción planta piloto multipropósito co  supercrítico”  fruto labor realizada laboratorio fluidos supercríticos universidad católica salta año       x   d 
en consideración muestras resultados obtenidos alto valor añadido utilizando materias primas pimentón  tabaco  ají cayena ají criollo  propios valles calchaquíes provincia salta  propone extracción supercrítica semillas chía  sustrato revalorizado tendencia crecimiento región objeto realizar proceso escalado planta piloto escala comercial  x   d 
el trabajo dividido tres partes  primera parte refiere origen historia semilla chía  descripción botánica  propiedades físicas  aspectos nutricionales características fisicoquímicas  hace hincapié distribución geográfica producción nivel mundial nacional centrarse región noroeste argentino específicamente provincia salta  además da conocimiento métodos obtención aceite establecer comparaciones  x   d 
en segunda parte expone proceso extracción supercrítica empleando co   acompañado descripción planta piloto actual  analizando componentes funciones  realiza comparación anterior planta  mostrando instalación realizada componentes tiempo trabajo  luego desarrolla parte experimental proceso extracción muestras semilla chía  análisis curvas extracción  utilizando metodología aplicable extracción cualquier matriz vegetal  x   d 
la tercera parte presenta fundamentos teóricos necesarios determinar parámetros escalado  scale up  proceso extracción supercrítica semillas chía luego aplicarlos mostrando desarrollo producto escala laboratorio escala industrial  x   d 
finalmente exponen conclusiones generales obtenidas partir trabajo  base perspectivas futuras ";Ingeniería;Ingeniería Industrial;300;113
59607;2016;La comunicación interna del Movimiento Juvenil Salesiano en Argentina entre los años 2010 y 2015;"Formar parte del Movimiento Juvenil Salesiano desde niña y conocer cada parte de la vida de Don Bosco y de su Obra, fueron razón suficiente para la investigadora, quien desde su formación académica pudo poner en marcha su intuición y mirada ante determinadas situaciones que generaron inquietudes teóricas y prácticas e ideas que pudieran ser aplicadas para la producción de soluciones concretas a los posibles problemas comunicacionales dentro de la organización. El objetivo de este trabajo fue analizar las formas, estrategias y sistemas comunicacionales internos que maneja el Movimiento Juvenil Salesiano desde su equipo y resolver si los dispositivos utilizados coinciden con la teoría abordada en el marco teórico y, sobre todo, si son efectivos en su funcionamiento. Así también se buscó conocer en profundidad los objetivos de la Congregación Salesiana para analizar si los mismos se relacionan o influyen en los objetivos del sistema salesiano de comunicación social, ambos directamente relacionados con la búsqueda del bien común. Luego del análisis teórico y del trabajo de campo realizado amplia y profundamente por la investigadora, la misma propone un aspecto más a la teoría a partir de un descubrimiento puntual en su análisis y plantea posibles soluciones a los conflictos comunicacionales encontrados._x000D_
Part of the Salesian Youth Movement since childhood and know every part of the life of Don Bosco and his work were enough reason for the researcher, who from his academic training could launch your intuition and look at certain situations that generated theoretical concerns and practices and ideas that could be applied to the production of specific potential communication problems within the organization solutions. The aim of this study was to analyze the ways, strategies and internal communication systems handling the Salesian Youth Movement from your computer and decide whether devices used are consistent with the theory addressed in the theoretical framework, and especially if they are effective in their operation. So also it sought to know in depth the objectives of the Salesian Congregation to analyze whether they are related or affect the objectives of the Salesian Social Communication System, both directly related to the common good. After the theoretical analysis and fieldwork widely and deeply by the researcher, it proposes a further aspect of the theory from a timely discovery analysis. And it presents possible solutions to conflicts found communication.";comunicación interna movimiento juvenil salesiano argentina años          ;formar parte movimiento juvenil salesiano niña conocer cada parte vida don bosco obra  razón suficiente investigadora  formación académica pudo poner marcha intuición mirada determinadas situaciones generaron inquietudes teóricas prácticas ideas pudieran ser aplicadas producción soluciones concretas posibles problemas comunicacionales dentro organización  objetivo trabajo analizar formas  estrategias sistemas comunicacionales internos maneja movimiento juvenil salesiano equipo resolver si dispositivos utilizados coinciden teoría abordada marco teórico   si efectivos funcionamiento  así buscó conocer profundidad objetivos congregación salesiana analizar si mismos relacionan influyen objetivos sistema salesiano comunicación social  ambos directamente relacionados búsqueda bien común  luego análisis teórico trabajo campo realizado amplia profundamente investigadora  misma propone aspecto teoría partir descubrimiento puntual análisis plantea posibles soluciones conflictos comunicacionales encontrados  x   d ;Artes y Ciencias;Licenciatura en Comunicaciones Sociales;261;104
59611;2016;Blogs personales sobre moda de autores salteños :  Estrategias de comunicación para la atracción de usuarios;Las nuevas formas de comunicación posibilitan que las personas gocen inicialmente de mayor libertad para expresarse y sus mensajes cuenten con una velocidad de difusión casi instantánea en todo el mundo. Es aquí donde los blogs y la figura del blogger adquieren gran importancia, obligando a adaptarse a los nuevos formatos emergentes y a replantear las rutinas productivas de los medios tradicionales. Dentro del fenómeno blogger hay un mercado que crece día a día y tuvo su auge a partir del año 2007, estos son los blogs de moda, y los bloggers dedicados a escribir sobre el mundo de la indumentaria y los complementos. Este sector se encontraba un tanto atrasado en materia de globalización. Es ahí, cuando entran en juego los bloggers oriundos de Salta que recurrieron a la plataforma blogspot para escribir sobre su propia percepción de la moda y la tendencia, mantienen comunicación con bloggers dedicados a la moda en grandes capitales del mundo y hacen coolhunting. La presente investigación describe las estrategias que utilizan los autores de blogs de moda de la provincia de Salta para lograr una comunicación fluida con los lectores usuarios, además de conocer aquello que los motiva a escribir sobre moda y el tratamiento que le dan a la información, el lenguaje y su jerarquización. A través de las nociones sobre moda, internet, sociedad de la información, TIC’s, marketing de contenido, entre otros se brinda un bagaje teórico que sostiene la pregunta inicial de la investigación. Los resultados permiten no sólo conocer el funcionamiento de los blogs de moda de autores salteños, sino que también son útiles para toda aquella persona interesada en escribir sobre moda en blogs u otros temas afines.;blogs personales moda autores salteños    estrategias comunicación atracción usuarios;nuevas formas comunicación posibilitan personas gocen inicialmente mayor libertad expresarse mensajes cuenten velocidad difusión casi instantánea mundo  aquí blogs figura blogger adquieren gran importancia  obligando adaptarse nuevos formatos emergentes replantear rutinas productivas medios tradicionales  dentro fenómeno blogger mercado crece día día auge partir año       blogs moda  bloggers dedicados escribir mundo indumentaria complementos  sector encontraba atrasado materia globalización  ahí  entran juego bloggers oriundos salta recurrieron plataforma blogspot escribir propia percepción moda tendencia  mantienen comunicación bloggers dedicados moda grandes capitales mundo hacen coolhunting  presente investigación describe estrategias utilizan autores blogs moda provincia salta lograr comunicación fluida lectores usuarios  además conocer aquello motiva escribir moda tratamiento dan información  lenguaje jerarquización  través nociones moda  internet  sociedad información  tic’s  marketing contenido  brinda bagaje teórico sostiene pregunta inicial investigación  resultados permiten sólo conocer funcionamiento blogs moda autores salteños  sino útiles toda aquella persona interesada escribir moda blogs u temas afines ;Artes y Ciencias;Licenciatura en Comunicaciones Sociales;244;124
59624;2016;Pinterest :  Una herramienta de comunicación visual para la identificación y fidelización de los clientes con la marca Unika Atelier;"De la mano del vertiginoso avance tecnológico las redes sociales fueron modificando aspectos precisos en la vida de cada individuo, estableciendo nuevas normas que también abarcan la forma y el tiempo de comunicación. Como consecuencia,  la publicidad se vio exigida a adaptarse a este innegable cambio en permanente evolución. _x000D_
La siguiente tesis aborda aspectos de la web2.0 y de las redes sociales, haciendo énfasis en Pinterest y la posibilidad de servirle a la publicidad como herramienta de identificación y fidelización de clientes con la marca, especialmente a las pequeñas empresas. _x000D_
El trabajo realizado es un estudio de caso de la empresa Unika Atelier,  donde se analiza la efectividad de su presencia en Pinterest como herramienta de identificación y fidelización de clientes con la marca. Se utilizaron encuestas a usuarios de Pinterest de la ciudad de Salta, entrevistas a clientes de Unika Atelier y análisis de contenido del perfil de la empresa en la red social._x000D_
Esta plataforma emergente llamada Pinterest dista de las redes sociales más populares  por su impacto visual y su gran capacidad comprobada para vender, siendo sus seguidores mayormente mujeres de entre 18 y 45 años, característica compartida con los clientes de Unika Atelier. _x000D_
Los resultados arrojaron que a través de esta novedosa red social es posible lograr que Unika Atelier pueda concretar la identificación y la fidelización de sus clientes, generando indudablemente un antecedente para empresas salteñas, especialmente para aquellas dedicadas al diseño, moda, decoración o arquitectura.";pinterest    herramienta comunicación visual identificación fidelización clientes marca unika atelier;"mano vertiginoso avance tecnológico redes sociales modificando aspectos precisos vida cada individuo  estableciendo nuevas normas abarcan forma tiempo comunicación  consecuencia   publicidad vio exigida adaptarse innegable cambio permanente evolución   x   d 
la siguiente tesis aborda aspectos web    redes sociales  haciendo énfasis pinterest posibilidad servirle publicidad herramienta identificación fidelización clientes marca  especialmente pequeñas empresas   x   d 
el trabajo realizado estudio caso empresa unika atelier   analiza efectividad presencia pinterest herramienta identificación fidelización clientes marca  utilizaron encuestas usuarios pinterest ciudad salta  entrevistas clientes unika atelier análisis contenido perfil empresa red social  x   d 
esta plataforma emergente llamada pinterest dista redes sociales populares  impacto visual gran capacidad comprobada vender  siendo seguidores mayormente mujeres       años  característica compartida clientes unika atelier   x   d 
los resultados arrojaron través novedosa red social posible lograr unika atelier pueda concretar identificación fidelización clientes  generando indudablemente antecedente empresas salteñas  especialmente aquellas dedicadas diseño  moda  decoración arquitectura ";Artes y Ciencias;Licenciatura en Comunicaciones Sociales;167;66
59713;2016;Aguardiente a base de hollejo de uva;"El aguardiente o grappa es una bebida alcohólica cuya materia prima es el hollejo de uva. El hollejo está conformado por las semillas, cáscaras y restos de pulpa, obtenidos como residuos de la industria vitivinícola luego del último prensado en el proceso de elaboración del vino._x000D_
Actualmente, Argentina no posee ninguna planta destinada específicamente a la producción de aguardiente para el consumo local y lo que se realiza artesanalmente sólo representa un 3% del hollejo total, el resto se lo desecha o destina para abono. Aprovechando esta situación y que nuestra provincia es una de las mayores productoras vitivinícolas, se explotará un mercado no saturado y con grandes oportunidades de crecimiento._x000D_
Se presentará un proyecto para la instalación de una Planta Industrial Productora de Aguardiente a base de hollejo de uva. Como oportunidad de negocio significa una inversión inicial de $15.928.869, con una TIR de 44,33% y una VAN de $24.861.657 a diez años, que posee un período de recupero de la inversión de 3 años. A pesar de requerir una inversión millonaria, tiene la ventaja de contar con ingresos significativos y en crecimiento, además de contar con posibilidades de expansión y con un diseño que permite obtener otras bebidas destiladas._x000D_
Socialmente este proyecto es de alto impacto debido a que colabora en la generación de trabajo directo (generando 8 nuevos puestos de trabajo con posibilidad de ampliación en caso de solicitar una mayor cantidad de personal por aumento de ventas), como también la generación de puestos indirectos de trabajo dado que colabora en la generación de valor en origen, fomentando que actividades como la de los mediano y pequeños productores de vino adquieran un nuevo nivel de competitividad al tener un residuo con valor agregado._x000D_
En cuanto a su impacto medioambiental, el efluente más grande del proyecto es un componente orgánico, el cual es el hollejo de uva ya destilado, el mismo se reutilizará como abono y alimento de animales, brindándolo gratuitamente para quien lo requiera en la localidad._x000D_
A continuación se desarrolla un trabajo que surgió con el objetivo y ambición de concretar un proyecto que sea realizable y rentable, que permita el desarrollo local y abra camino a otros proyectos industriales.";aguardiente base hollejo uva;"aguardiente grappa bebida alcohólica cuya materia prima hollejo uva  hollejo conformado semillas  cáscaras restos pulpa  obtenidos residuos industria vitivinícola luego último prensado proceso elaboración vino  x   d 
actualmente  argentina posee ninguna planta destinada específicamente producción aguardiente consumo local realiza artesanalmente sólo representa    hollejo total  resto desecha destina abono  aprovechando situación provincia mayores productoras vitivinícolas  explotará mercado saturado grandes oportunidades crecimiento  x   d 
se presentará proyecto instalación planta industrial productora aguardiente base hollejo uva  oportunidad negocio significa inversión inicial              tir        van             diez años  posee período recupero inversión   años  pesar requerir inversión millonaria  ventaja contar ingresos significativos crecimiento  además contar posibilidades expansión diseño permite obtener bebidas destiladas  x   d 
socialmente proyecto alto impacto debido colabora generación trabajo directo  generando   nuevos puestos trabajo posibilidad ampliación caso solicitar mayor cantidad personal aumento ventas   generación puestos indirectos trabajo dado colabora generación valor origen  fomentando actividades mediano pequeños productores vino adquieran nuevo nivel competitividad tener residuo valor agregado  x   d 
en cuanto impacto medioambiental  efluente grande proyecto componente orgánico  hollejo uva destilado  mismo reutilizará abono alimento animales  brindándolo gratuitamente requiera localidad  x   d 
a continuación desarrolla trabajo surgió objetivo ambición concretar proyecto realizable rentable  permita desarrollo local abra camino proyectos industriales ";Ingeniería;Ingeniería Industrial;0;0
60139;2016;Identidad e imagen de la banda de rock, Gauchos de Acero;"En la siguiente investigación se analizó cómo las estrategias comunicacionales utilizadas por una banda de rock forman parte de su identidad e imagen, y a la vez cómo dicha identidad e imagen se trasmite al público por medio de las mismas estrategias, conformando un vínculo que se retroalimenta constantemente._x000D_
Se abordó la temática teniendo como objeto de estudio a la banda Salteña Gauchos de Acero, realizando con la misma un análisis descriptivo. Para ello se realizó a la banda diversas entrevistas en profundidad, a las cuales se les adjunto el análisis de otras entre-vistas que fueron realizadas para diferentes medios de comunicación y la observación tanto de recitales como de la banda en su cotidianidad._x000D_
Los resultados corroboran cómo dicha banda logró posicionarse y conformó su identidad y su imagen desde sus inicios, gracias a las estrategias comunicacionales que utilizaron. Las conclusiones de este trabajo de investigación bus-can servir como elemento de análisis y guía para demás bandas que busquen el posicionamiento y la conformación de una identidad.
_x000D_
The following research analyzed how the communication strategies used by a rock band are part of its identity and image, and at the same time, how that identity and image is transmitted to the public through the same strategies, forming a bond that is in constantly feedback._x000D_
The issue was addressed having as object of study a band called “Gauchos de Acero” from Salta, Argentina, performing with it a descriptive analysis. To do so, the band was conducted through various interviews, to which are attached the analysis of other inter-views that were conducted for different media, and observation of both the band recitals, and their daily lives._x000D_
The results corroborate how the band managed to position itself and formed its identity and its image since its inception, thanks to the communication strategies they used. The findings of this research seek to serve as an ele-ment of analysis and guidance for other bands seeking positioning and shaping identity.";identidad imagen banda rock  gauchos acero;"siguiente investigación analizó cómo estrategias comunicacionales utilizadas banda rock forman parte identidad imagen  vez cómo dicha identidad imagen trasmite público medio mismas estrategias  conformando vínculo retroalimenta constantemente  x   d 
se abordó temática objeto estudio banda salteña gauchos acero  realizando misma análisis descriptivo  ello realizó banda diversas entrevistas profundidad  cuales adjunto análisis vistas realizadas diferentes medios comunicación observación recitales banda cotidianidad  x   d 
los resultados corroboran cómo dicha banda logró posicionarse conformó identidad imagen inicios  gracias estrategias comunicacionales utilizaron  conclusiones trabajo investigación bus can servir elemento análisis guía demás bandas busquen posicionamiento conformación identidad ";Artes y Ciencias;Licenciatura en Comunicaciones Sociales;626;131
60142;2016;El nivel de actividad física y el estado nutricional de los choferes de colectivos de la línea urbana de Salta capital del año 2016;"En la actualidad,  está demostrado que la actividad física y el estado nutricional  en las personas es muy fundamental  para una buena  calidad de vida. Con el tiempo cada  vez el hombre va aumentando el sedentarismo y la mala alimentación  sin pensar las consecuencias que esta puede traer. Estos mismos factores aceleran  el estrés y las enfermedades, tal como la obesidad o problemas cardiovasculares entre otras._x000D_
En la ciudad de Salta  los colectiveros que trabajan tantas horas sentados sin darse cuenta que están perdiendo movilidad en el cuerpo, más los que realizan horas extras para lograr llevar unos cuantos pesos  a casa. Esto a clara  que no se está tomando en cuenta la actividad física diaria como también una adecuada alimentación en los trabajadores de la UTA (Unión Tranviarios Automotor)._x000D_
Los resultados muestran que  los conductores de la línea urbana de la provincia de salta no realizan la suficiente actividad física  por ello carecen de  un buen nivel de actividad física y estado nutricional. Esto sucede por el largo  y cansador periodo laboral que deben vivir día a día._x000D_
 El aspecto más importante a tener en cuenta para mejorar el nivel de actividad física y estado nutricional en los conductores de colectivos de la línea urbana de la provincia de Salta, es  la toma de conciencia  de cada conductor, sería un primer paso para buscar activamente soluciones favorables, como también los dirigentes de la empresa tener en cuenta del trabajo insalubre que tienen sus choferes diariamente. Si esto se concreta produciría cambios significativos sustanciales en la vida de los conductores salteños.
_x000D_
At present, it is shown that physical activity and nutritional status in people is very important for a good quality of life. Over time every time the man is increasing sedentary lifestyle and poor diet without thinking about the consequences that this can bring. These same factors accelerate stress and diseases, such as obesity or cardio vascular problems among others._x000D_
In the city of Salta bus drivers who work long hours sitting without realizing that they are losing mobility in the body, plus performing overtime to achieve take home a few pesos. This is clear that is not being taken into account daily physical activity as well as adequate food in workers UTA (Union Tranviarios Automotive)._x000D_
The results show that drivers of urban line jumps province do not perform sufficient physical activity therefore lack a good level of physical activity and nutritional status. This happens for the long and tiring work period they must live day to day._x000D_
 The most important thing to consider for improving the quality of life in the bus drivers of the urban line of the province of Salta, aspect is the awareness of each conductor would be a first step to actively seek favorable solutions, as well as the company leaders take account of unhealthy work with their drivers daily. If this materializes produce substantial significant changes in the lives of salteños drivers.";nivel actividad física nutricional choferes colectivos línea urbana salta capital año     ;"actualidad   demostrado actividad física nutricional  personas fundamental  buena  calidad vida  tiempo cada  vez hombre va aumentando sedentarismo mala alimentación  pensar consecuencias puede traer  mismos factores aceleran  estrés enfermedades  tal obesidad problemas cardiovasculares  x   d 
en ciudad salta  colectiveros trabajan tantas horas sentados darse cuenta perdiendo movilidad cuerpo  realizan horas extras lograr llevar cuantos pesos  casa  clara  tomando cuenta actividad física diaria adecuada alimentación trabajadores uta  unión tranviarios automotor   x   d 
los resultados muestran  conductores línea urbana provincia salta realizan suficiente actividad física  ello carecen  buen nivel actividad física nutricional  sucede largo  cansador periodo laboral deben vivir día día  x   d 
 aspecto importante tener cuenta mejorar nivel actividad física nutricional conductores colectivos línea urbana provincia salta   toma conciencia  cada conductor  primer paso buscar activamente soluciones favorables  dirigentes empresa tener cuenta trabajo insalubre choferes diariamente  si concreta produciría cambios significativos sustanciales vida conductores salteños ";Escuela de Educación Física;Licenciatura en Educación Física;168;100
60486;2016;El cine grotesco;"La presente investigación aborda el cuerpo humano y los patrones que el arte elabora para distinguir los cuerpos bellos de los cuerpos ominosos. Bajo este paradigma emerge la figura del cuerpo grotesco, que es aquel que está fuera de la norma. Se comienza definiendo lo grotesco desde su etimología, para luego, atravesando las teorías de grandes estudiosos en la temática, realizar un viraje hacia el cine y sus géneros, en el que se mostrará que el cuerpo grotesco especifica un género cinematográfico, poco o nada estudiado hasta la fecha. A partir de allí se propone una clasificación de cuerpos grotescos ejemplificando la tipología con películas.
_x000D_
This research deals with the human body and standards that art makes to distinguish the beautiful bodies from the ominous bodies. Under this paradigm the figure of the grotesque body emerges, which is one that is out of the norm. It begins by defining the grotesque from its etymology. Then it continues by going through the theories of great scholars in the field, to make a turn to the cinema and its genres, which will show that the grotesque body specifies a film genre, little or not studied up to now. From there a classification of grotesque bodies is proposed, exemplifying the typologies with movies.";;presente investigación aborda cuerpo humano patrones arte elabora distinguir cuerpos bellos cuerpos ominosos  bajo paradigma emerge figura cuerpo grotesco  aquel norma  comienza definiendo grotesco etimología  luego  atravesando teorías grandes estudiosos temática  realizar viraje hacia cine géneros  mostrará cuerpo grotesco especifica género cinematográfico  estudiado fecha  partir allí propone clasificación cuerpos grotescos ejemplificando tipología películas ;Artes y Ciencias;Licenciatura en Comunicaciones Sociales;235;133
60579;2016;Imagen de la revista Cosmopolitan para la mujer salteña;"La presente investigación se introduce en el contexto de la revista femenina Cosmopolitan. El objetivo principal es describir las diferencias y similitudes entre la imagen de mujer que muestra la Revista Cosmopolitan y la imagen de su consumidora en la ciudad de Salta, durante los meses de julio a diciembre del año 2015._x000D_
Este trabajo está enmarcado dentro de un enfoque interpretativo - cualitativo, de carácter descriptivo. Para realizar esta investigación se utilizó la técnica de análisis de contenido mediante la cual se descubrió el tipo de mujer que muestra la revista Cosmopolitan; y la de grupo focal donde se obtuvo el perfil de la mujer salteña a estudiar._x000D_
Finalmente, en base a toda la información recabada, se llega a concluir que la imagen de mujer que es representada en dicha revista difiere en gran medida con el perfil de la mujer salteña que la consume.";imagen revista cosmopolitan mujer salteña;"presente investigación introduce contexto revista femenina cosmopolitan  objetivo principal describir diferencias similitudes imagen mujer muestra revista cosmopolitan imagen consumidora ciudad salta  meses julio diciembre año       x   d 
este trabajo enmarcado dentro enfoque interpretativo   cualitativo  carácter descriptivo  realizar investigación utilizó técnica análisis contenido mediante descubrió tipo mujer muestra revista cosmopolitan  grupo focal obtuvo perfil mujer salteña estudiar  x   d 
finalmente  base toda información recabada  llega concluir imagen mujer representada dicha revista difiere gran medida perfil mujer salteña consume ";Artes y Ciencias;Licenciatura en Comunicaciones Sociales;59;33
